,nome,link,indirizzo,sito,facebook,telefono
94,Enoteca & Gastronomia Il Protontino,https://www.tripadvisor.it/Restaurant_Review-g187780-d10203849-Reviews-Enoteca_Gastronomia_Il_Protontino-Amalfi_Amalfi_Coast_Province_of_Salerno_Campan.html,"via Pietro Capuano 8, 84011, Amalfi Italia",,,
95,Fico d'India,https://www.tripadvisor.it/Restaurant_Review-g635622-d1575756-Reviews-Fico_d_India-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Aldo Moro 2, 84010, Furore Italia",http://www.holidaysficodindia.com,, 089 830520
96,Ristorante dei Cappuccini,https://www.tripadvisor.it/Restaurant_Review-g187780-d4497731-Reviews-Ristorante_dei_Cappuccini-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Annunziatella 46, 84011, Amalfi Italia",,,
97,Mar di Cobalto,https://www.tripadvisor.it/Restaurant_Review-g187780-d4592298-Reviews-Mar_di_Cobalto-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Marina Grande SNC, 84011, Amalfi Italia",,,
98,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
99,Masaniello Art Cafè Amalfi,https://www.tripadvisor.it/Restaurant_Review-g187780-d7383352-Reviews-Masaniello_Art_Cafe_Amalfi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Cesareo Console, 7 Accanto Antico Museo Degli Arsenali, 84011, Amalfi Italia",,,
100,Taberna 33,https://www.tripadvisor.it/Restaurant_Review-g580202-d20049235-Reviews-Taberna_33-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Gaetano Cantilena 33, 84010 Minori Italia",http://www.taberna33.it,, 089 853121
101,Ristorante Antico Borgo,https://www.tripadvisor.it/Restaurant_Review-g7008950-d6998722-Reviews-Ristorante_Antico_Borgo-Pontone_Province_of_Salerno_Campania.html,"Via Noce 4, 84010 Pontone Italia",http://www.lanticoborgo.it/english%20html/index.htm,, 334 748 6611
102,Bianca Zita Ristorante Enoteca,https://www.tripadvisor.it/Restaurant_Review-g635622-d1637626-Reviews-Bianca_Zita_Restaurant_Wine-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Mola, 9, 84010, Furore Italia",http://www.biancazita.com,, 089 212 6766
103,Al Ristoro del Moro,https://www.tripadvisor.it/Restaurant_Review-g194873-d1461939-Reviews-Al_Ristoro_del_Moro-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via della Repubblica 10, 84010, Ravello Italia",http://www.alristorodelmoro.com,, 89857901
104,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
105,Pizzeria O' Sarracino,https://www.tripadvisor.it/Restaurant_Review-g580202-d4783862-Reviews-Pizzeria_O_Sarracino-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Roma, 32, 84010 Minori Italia",,, 089 851183
106,Melchiò,https://www.tripadvisor.it/Restaurant_Review-g635622-d14509438-Reviews-Melchio-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Santa Maria Vecchia 5, 84010, Furore Italia",http://www.melchio.it,, 333 915 5962
107,Trattoria e Pizzeria da Meme,https://www.tripadvisor.it/Restaurant_Review-g187780-d1602337-Reviews-Trattoria_e_Pizzeria_da_Meme-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Salita Marino Sebaste, 8, 84011, Amalfi Italia",,,
108,Da Gemma Bistrot,https://www.tripadvisor.it/Restaurant_Review-g187780-d23408712-Reviews-Da_Gemma_Bistrot-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Duomo, 2, 84011, Amalfi Italia",,,
109,Il Teatro,https://www.tripadvisor.it/Restaurant_Review-g187780-d1087209-Reviews-Il_Teatro-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Ercolano Marini, 19/21, 84011, Amalfi Italia",,,
110,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
111,La Vecchia Cantina - Ristorante Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g194873-d1735794-Reviews-La_Vecchia_Cantina-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via della Marra, 15, 84010, Ravello Italia",http://www.lavecchiacantinaravello.com,, 089 858 6203
112,Ristorante Luna Convento,https://www.tripadvisor.it/Restaurant_Review-g187780-d1087117-Reviews-Ristorante_Luna_Convento-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Pantaleone Comite 33, Amalfi Italia",,,
113,La Locanda del Pescatore,https://www.tripadvisor.it/Restaurant_Review-g580202-d6454343-Reviews-La_Locanda_del_Pescatore-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via San Giovanni a Mare 25, 84010 Minori Italia",,https://www.facebook.com/pages/La-Locanda-Del-Pescatore-Minori/10062143733181, 089 853063
114,Calajanara,https://www.tripadvisor.it/Restaurant_Review-g635621-d2470626-Reviews-Calajanara-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Smeraldo 35 Hotel La Conca Azzurra, 84010 Conca dei Marini Italia",http://www.calajanara.com,, 089 831610
115,Ristorante Donna Emma,https://www.tripadvisor.it/Restaurant_Review-g187780-d12869268-Reviews-Donna_Emma_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Salvatore Quasimodo 3 Hotel Miramalfi, 84011, Amalfi Italia",,,
116,Belvedere Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194873-d1913667-Reviews-Belvedere_Restaurant-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza San Giovanni del Toro 2, 84010, Ravello Italia",https://www.belmond.com/hotels/europe/italy/amalfi-coast/belmond-hotel-caruso/dining?utm_source=local_search&utm_medium=link&utm_campaign=Yext_Extended_Networ,, 089 858801
117,Da Gigino,https://www.tripadvisor.it/Restaurant_Review-g580201-d2283309-Reviews-Da_Gigino-Agerola_Province_of_Naples_Campania.html,"Via Miramare 10, 80051, Agerola Italia",,https://www.facebook.com/pages/Ristorante-Pizzeria-da-Gigino/202792112746680, 081 802 5069
118,Sole Ristorante,https://www.tripadvisor.it/Restaurant_Review-g194806-d10445114-Reviews-Sole_Ristorante-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Gaetano Capone 7 Hotel Sole, 84010, Maiori Italia",http://www.hotelsolemaiori.it,, 089 877210
119,Ristorante Torre Normanna,https://www.tripadvisor.it/Restaurant_Review-g194806-d1789875-Reviews-Torre_Normanna_Restaurant-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Diego Taiani, 4, 84010, Maiori Italia",http://www.ristorantetorrenormanna.com,, 089 877100
120,Al Mare Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194806-d1901168-Reviews-Al_Mare_Restaurant-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Lungomare Gaetano Capone 63 Hotel Sole Splendid, 84010, Maiori Italia",http://www.al-mare.it/eng/index.as,, 089 852668
121,Trattoria San Giuseppe,https://www.tripadvisor.it/Restaurant_Review-g187780-d1901812-Reviews-Trattoria_San_Giuseppe-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"4, Via Ruggiero II, 84011, Amalfi Italia",,,
122,Ristorante Pineta 1903,https://www.tripadvisor.it/Restaurant_Review-g194806-d4454746-Reviews-Ristorante_Pineta_1903-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Corso Reginna 53, 84010, Maiori Italia",http://www.ristorantepineta1903.it,, 351 818 7549
123,Trattoria Da Lorenzo,https://www.tripadvisor.it/Restaurant_Review-g580208-d1210580-Reviews-Trattoria_Da_Lorenzo-Scala_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Sasso fra Gerardo, 10, 84010 Scala Italia",http://www.trattoriadalorenzo.com,, 089 858290
124,Ristorante Sigilgaida,https://www.tripadvisor.it/Restaurant_Review-g194873-d2257994-Reviews-Ristorante_Sigilgaida-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via San Francesco 1, 84010, Ravello Italia",http://www.hotelrufolo.it/en/ristorante.as,, 089 857133
125,Ristorante Risorgimento,https://www.tripadvisor.it/Restaurant_Review-g635621-d2308841-Reviews-Ristorante_Risorgimento-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campani.html,"Via Marina 42 sulla spiaggia di Conca dei Marini, 84010 Conca dei Marini Italia",http://www.ristoranterisorgimento.com,, 333 292 9132
126,Bar Eldorado,https://www.tripadvisor.it/Restaurant_Review-g194806-d3378960-Reviews-Bar_Eldorado-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Amendola, 2/Bis, 84010, Maiori Italia",,http://www.facebook.com/pages/Bar-Eldorado-Maiori/21315165204520, 089 851266
127,Amalfi Terminal,https://www.tripadvisor.it/Restaurant_Review-g187780-d10831283-Reviews-Amalfi_Terminal-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Flavio Gioia, 84011, Amalfi Italia",,,
128,Caffe Royal,https://www.tripadvisor.it/Restaurant_Review-g187780-d12578779-Reviews-Caffe_Royal-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Lorenzo d'Amalfi n. 6, 84011, Amalfi Italia",,,
129,Euroconca,https://www.tripadvisor.it/Restaurant_Review-g635621-d3156366-Reviews-Euroconca-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Smeraldo, 67, 84010 Conca dei Marini Italia",http://www.euroconca.com/en/restaurant-bar,, 089 831621
130,Bar Santa Rosa,https://www.tripadvisor.it/Restaurant_Review-g635621-d14091215-Reviews-Bar_Santa_Rosa-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Roma 10/12, 84010 Conca dei Marini Italia",,https://www.facebook.com/raffaelacarran, 089 831729
131,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
132,Pub 18,https://www.tripadvisor.it/Restaurant_Review-g580201-d4309552-Reviews-Pub_18-Agerola_Province_of_Naples_Campania.html,"Via Antonio Coppola, 8, 80051, Agerola Italia",,http://www.facebook.com/pub18agerol,
133,Da Nicola,https://www.tripadvisor.it/Restaurant_Review-g580201-d3746446-Reviews-Da_Nicola-Agerola_Province_of_Naples_Campania.html,"Viale della Vittoria 26, 80051, Agerola Italia",,http://www.facebook.com/RistoranteDaNicol,tel:0818731321
134,Ristorante dei Cavalieri,https://www.tripadvisor.it/Restaurant_Review-g580208-d1586153-Reviews-Ristorante_dei_Cavalieri-Scala_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Municipio no 13, 84010 Scala Italia",http://www.ristorantedeicavalieri.com,, 089 857733
135,La Tana del Luppolo,https://www.tripadvisor.it/Restaurant_Review-g194806-d6440664-Reviews-La_Tana_del_Luppolo-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via degli Orti, 20, 84010, Maiori Italia",,http://www.facebook.com/LaTanaDelLuppoloMaiorit, 089 851357
136,Agriturismo Sant Alfonso,https://www.tripadvisor.it/Restaurant_Review-g635622-d3375037-Reviews-Agriturismo_Sant_Alfonso_Restaurant-Furore_Amalfi_Coast_Province_of_Salerno_Campa.html,"Via S Alfonso, 6 120 Scalini, 84010, Furore Italia",http://www.agriturismosantalfonso.it/en/gastronom,, 089 830515
137,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
138,Mammato dal 1890,https://www.tripadvisor.it/Restaurant_Review-g194806-d3257675-Reviews-Mammato_dal_1890-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Lungomare G. Amendola 6, 84010, Maiori Italia",,https://www.facebook.com/Mammato1890, 089 853683
139,Bar Nettuno,https://www.tripadvisor.it/Restaurant_Review-g635619-d2062520-Reviews-Bar_Nettuno-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Alagno 1, 84010 Atrani Italia",,,tel:03495271964
140,A'Ricetta,https://www.tripadvisor.it/Restaurant_Review-g580202-d3356211-Reviews-A_Ricetta-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"via maggiore garofalo n.10, 84010 Minori Italia",http://www.aricetta.it/index.htm,, 089 877704
141,Pizzeria Ai Galli,https://www.tripadvisor.it/Restaurant_Review-g580201-d6986291-Reviews-Pizzeria_Ai_Galli-Agerola_Province_of_Naples_Campania.html,"Via Galli 39, 80051, Agerola Italia",,http://www.facebook.com/Pizzeria-Ai-Galli-da-Pietro-51292560212234, 081 879 1572
142,La Dolce Vita,https://www.tripadvisor.it/Restaurant_Review-g187780-d6848501-Reviews-La_Dolce_Vita-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"La  Plazza Spirito Santo, Amalfi, Amalfi Italia",,,
143,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
144,Ristorante Glicine,https://www.tripadvisor.it/Restaurant_Review-g187780-d17762745-Reviews-Glicine_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Mauro Comite, 9 Santa Caterina Hotel, 84011, Amalfi Italia",,,
145,La Botte,https://www.tripadvisor.it/Restaurant_Review-g580202-d1501872-Reviews-La_Botte-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Santa Maria Vetrano, 84010 Minori Italia",http://Www.labotte.it,, 089 877893
146,Ristorante Le Palme,https://www.tripadvisor.it/Restaurant_Review-g635619-d6179731-Reviews-Le_Palme_Ristorante_Pizzeria-Atrani_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Vollaro 7, 84010 Atrani Italia",http://www.lepalmeamalfi.com,, 089 871700
147,La Taverna Del Duca,https://www.tripadvisor.it/Restaurant_Review-g187780-d1557811-Reviews-La_Taverna_Del_Duca-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Dello Spirito Santo 26, 84011, Amalfi Italia",,,
148,Tony's Food e Drinks,https://www.tripadvisor.it/Restaurant_Review-g194806-d2272178-Reviews-Tony_s_Food_Drinks-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Giovanni Amendola, 9, 84010, Maiori Italia",http://www.tonysmaiori.it,, 089 877179
149,La Tramontina Costiera Amalfitana,https://www.tripadvisor.it/Restaurant_Review-g187780-d17397187-Reviews-La_Tramontina_Costiera_Amalfitana-Amalfi_Amalfi_Coast_Province_of_Salerno_Campan.html,"Piazza Dei Dogi n. 26, 84011, Amalfi Italia",,,mailto:giuseppearp94@gmail.com?subject=?
150,IL PANINO Food and Drinks,https://www.tripadvisor.it/Restaurant_Review-g194873-d4262222-Reviews-IL_PANINO_Food_and_Drinks-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Duomo 7, 84010, Ravello Italia",,https://www.facebook.com/ilpaninosnc, 347 375 8700
151,Bistro F.lli Pansa,https://www.tripadvisor.it/Restaurant_Review-g187780-d4454357-Reviews-Bistro_F_lli_Pansa-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Duomo 21, 84011, Amalfi Italia",,,mailto:Andrea.pansa@alice.it?subject=?
152,La Bottega Di Villa Maria,https://www.tripadvisor.it/Restaurant_Review-g194873-d8364473-Reviews-La_Bottega_Di_Villa_Maria-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via San Francesco, 84010, Ravello Italia",http://www.labottegadivillamaria.com,, 089 843 1503
153,Ristorante Santa Croce,https://www.tripadvisor.it/Restaurant_Review-g187780-d4608341-Reviews-Santa_Croce_Restaurant-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Spiaggia Santa Croce, 84011, Amalfi Italia",,,
154,Ristorante Da Teresa,https://www.tripadvisor.it/Restaurant_Review-g187780-d2244213-Reviews-Ristorante_Da_Teresa-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Santa Croce 3, 84011, Amalfi Italia",,,
155,Bar Savoia,https://www.tripadvisor.it/Restaurant_Review-g187780-d10474271-Reviews-Bar_Savoia-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Flavio Gioia 1, 84011, Amalfi Italia",,,
156,Pub Crazy Burger,https://www.tripadvisor.it/Restaurant_Review-g580201-d2441623-Reviews-Pub_Crazy_Burger-Agerola_Province_of_Naples_Campania.html,"Via P. di Piemonte 81, 80051, Agerola Italia",http://crazy-burger-bar.edan.io,, 366 529 7979
157,Ristorante Masaniello,https://www.tripadvisor.it/Restaurant_Review-g194806-d1569340-Reviews-Ristorante_Masaniello-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Casale Dei Cicerali 6, 84010, Maiori Italia",http://www.masaniello.biz,, 089 877671
158,La Selva,https://www.tripadvisor.it/Restaurant_Review-g580201-d1541578-Reviews-La_Selva-Agerola_Province_of_Naples_Campania.html,"Via Belvedere 25, 80051, Agerola Italia",http://www.agerola.com/aziende/ristorante_laselva/index.ht,, 081 874 0434
159,Matinée,https://www.tripadvisor.it/Restaurant_Review-g194806-d2215872-Reviews-Matinee-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 84010, Maiori Italia",,https://www.facebook.com/matineeamalficoast/?hc_ref=PAGES_TIMELIN, 338 623 2760
160,Villa Amore Ristorante,https://www.tripadvisor.it/Restaurant_Review-g194873-d1557346-Reviews-Villa_Amore_Ristorante-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Dei Fusco n. 5, 84010, Ravello Italia",http://www.villaamore.it,,
161,Bar della Valle,https://www.tripadvisor.it/Restaurant_Review-g187780-d10283581-Reviews-Bar_della_Valle-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Dello Spirito Santo 4, 84011, Amalfi Italia",,,
162,Ristorante La Locanda Del Fiordo,https://www.tripadvisor.it/Restaurant_Review-g635622-d1836888-Reviews-Ristorante_La_Locanda_Del_Fiordo-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Trasita 13 84010 Furore Salerno - Costiera Amalfitana- Italy, 84010, Furore Italia",http://www.lalocandadelfiordo.it,, 089 874813
163,Il Ristorante Dedalo,https://www.tripadvisor.it/Restaurant_Review-g194806-d1569334-Reviews-Il_Ristorante_Dedalo-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Corso Reginna 2, Maiori Italia",http://www.ristodedalo.it,, 089 877084
164,Adamo ed Eva by Eden Roc,https://www.tripadvisor.it/Restaurant_Review-g194863-d3168945-Reviews-Adamo_ed_Eva_by_Eden_Roc-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via G. Marconi 110, 84017, Positano Italia",,,
165,Agriturismo la Baita,https://www.tripadvisor.it/Restaurant_Review-g580201-d2281009-Reviews-Agriturismo_la_Baita-Agerola_Province_of_Naples_Campania.html,"Via Fontana II Traversa, Agerola Italia",http://www.agriturismolabaita.ne,, 081 802 5390
166,Zeffiro Sereno,https://www.tripadvisor.it/Restaurant_Review-g635621-d4832447-Reviews-Zeffiro_Sereno-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campania.html,"Spiaggia La Vite Scendere Scalini all'Hotel Belvedere, 84011 Conca dei Marini Italia",,https://www.facebook.com/zeffirosereno, 333 488 5203
167,La Taverna Di Pulcinella,https://www.tripadvisor.it/Restaurant_Review-g187780-d8605082-Reviews-La_Taverna_Di_Pulcinella-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Largo Cesareo Console, 5, 84011, Amalfi Italia",,,
168,Enjoy Bistrot,https://www.tripadvisor.it/Restaurant_Review-g194806-d12958413-Reviews-Enjoy_Bistrot-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Lungomare G. Capone, 84010, Maiori Italia",http://www.enjoyfoodclub.it,, 089 877326
169,Blu Sirena,https://www.tripadvisor.it/Restaurant_Review-g187780-d8052007-Reviews-Blu_Sirena-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Viale delle Repubbliche Viale delle Repubbliche, 84011, 84011, Amalfi Italia",,,
170,Ohima' Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194863-d14098781-Reviews-Ohima_Restaurant-Positano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo, 17 Piazza dei Mulini, 84017, Positano Italia",,,
171,Ristorante Franchino,https://www.tripadvisor.it/Restaurant_Review-g194867-d2169485-Reviews-Ristorante_Franchino-Praiano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Terramare, 3, 84010 Praiano Italia",http://www.ristorantefranchino.com,, 089 813 1226
172,Sisina's Snack Bar,https://www.tripadvisor.it/Restaurant_Review-g194873-d4830983-Reviews-Sisina_s_Snack_Bar-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"2 Piazza Fontana, 84010, Ravello Italia",http://www.gelaterialancora.com,, 089 858203
173,Trattoria Da Cumpa' Cosimo,https://www.tripadvisor.it/Restaurant_Review-g194873-d1034534-Reviews-Trattoria_Da_Cumpa_Cosimo-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Roma 44, 84010, Ravello Italia",http://trattoriadacumpacosimo.alaqsamosque.com,, 089 857156
174,Maiori Food Coast,https://www.tripadvisor.it/Restaurant_Review-g194806-d21246844-Reviews-Maiori_Food_Coast-Maiori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Corso Reginna 98, 84010, Maiori Italia",,http://www.facebook.com/maiorifoodcoast, 327 758 7971
175,Calamarè Ristorante Pizzeria,https://www.tripadvisor.it/Restaurant_Review-g187781-d13813747-Reviews-Calamare_Ristorante_Pizzeria-Salerno_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Domenico Scaramella 18 Nei pressi della stazione ferroviaria, 84123 Salerno Italia",,,
176,Pastificio Cuomo,https://www.tripadvisor.it/Restaurant_Review-g1149890-d12594233-Reviews-Pastificio_Cuomo-Gragnano_Province_of_Naples_Campania.html,"Via Roma 33, 80054 Gragnano Italia",http://pastacuomo.com,, 081 060 1402
177,Ristorante Il Refettorio,https://www.tripadvisor.it/Restaurant_Review-g635621-d7795490-Reviews-Ristorante_Il_Refettorio-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campan.html,"Via Roma 2 Monastero Santa Rosa Hotel & Spa, 84010 Conca dei Marini Italia",http://monasterosantarosa.com/dining,, 089 832 1199
178,L' Incanto,https://www.tripadvisor.it/Restaurant_Review-g635622-d4469015-Reviews-L_Incanto-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Nespoli, 84010, Furore Italia",http://www.ristorantefurore.com,, 334 337 9558
179,Bistrot La Terrazza,https://www.tripadvisor.it/Restaurant_Review-g187780-d21211918-Reviews-Terrazza_17-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Pantaleone Comite 19 Hotel Marina Riviera Amalfi, 84011, Amalfi Italia",,,
180,Trattoria Da Armandino,https://www.tripadvisor.it/Restaurant_Review-g194867-d1516323-Reviews-Trattoria_Da_Armandino-Praiano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Marina di Praia 1, 84010 Praiano Italia",http://www.trattoriadaarmandino.com,, 089 874087
181,La Corte degli Dei,https://www.tripadvisor.it/Restaurant_Review-g580201-d10462352-Reviews-La_Corte_degli_Dei-Agerola_Province_of_Naples_Campania.html,"Via Armando Diaz, 26 Locanda Di Palazzo Acampora, 80051, Agerola Italia",http://www.lacortedeglidei.it,, 081 1914 3156
182,Serafina Agriturismo,https://www.tripadvisor.it/Restaurant_Review-g635622-d2485866-Reviews-Serafina_Agriturismo-Furore_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Picola 3 70 Scale, 84010, Furore Italia",http://www.agriturismoserafina.it,, 089 830347
183,Ristorante Costa Diva,https://www.tripadvisor.it/Restaurant_Review-g194867-d1841344-Reviews-Ristorante_Costa_Diva-Praiano_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Roma 12, 84010 Praiano Italia",http://www.hotelspraiano.com/index.php/il-ristorant,, 089 813076
184,L'Arsenale Italian Food & Lounge Bar,https://www.tripadvisor.it/Restaurant_Review-g187780-d13819875-Reviews-L_Arsenale_Italian_Food_Lounge_Bar-Amalfi_Amalfi_Coast_Province_of_Salerno_Campa.html,"Largo Cesareo Console, 5, 84011, Amalfi Italia",,,
185,Cafe Europa,https://www.tripadvisor.it/Restaurant_Review-g580202-d1853976-Reviews-Cafe_Europa-Minori_Amalfi_Coast_Province_of_Salerno_Campania.html,"Piazza Umberto I, Minori Italia",,,
186,Agriturismo Luna d'Agerola,https://www.tripadvisor.it/Restaurant_Review-g580201-d6449793-Reviews-Agriturismo_Luna_d_Agerola-Agerola_Province_of_Naples_Campania.html,"Via Radicosa 42 Piazza Genarale Avitabile Seguire Le Indicazioni, 80051, Agerola Italia",http://www.lunadagerola.it,, 081 802 5009
187,I Due Scugnizzi,https://www.tripadvisor.it/Restaurant_Review-g187780-d4482155-Reviews-I_Due_Scugnizzi-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Duoglio SNC, 84011, Amalfi Italia",,,
188,Ristorante Da Zaccaria,https://www.tripadvisor.it/Restaurant_Review-g187780-d2031986-Reviews-Ristorante_Da_Zaccaria-Amalfi_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Cristoforo Colombo 9, 84011, Amalfi Italia",,,
189,Ristorante La Tonnarella,https://www.tripadvisor.it/Restaurant_Review-g635621-d2298084-Reviews-Ristorante_La_Tonnarella-Conca_dei_Marini_Amalfi_Coast_Province_of_Salerno_Campan.html,"Via Marina di Conca, 84010 Conca dei Marini Italia",http://www.ristorantelatonnarella.com,, 089 831939
190,Villa San Michele Restaurant,https://www.tripadvisor.it/Restaurant_Review-g194873-d5504199-Reviews-Villa_San_Michele_Restaurant-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"Via Carusiello 2, 84010, Ravello Italia",http://www.hotel-villasanmichele.it/eng/ristorante.ht,, 089 872237
191,Caseificio  Staiano  di Staiano Biagio,https://www.tripadvisor.it/Restaurant_Review-g194873-d8283481-Reviews-Caseificio_Staiano_di_Staiano_Biagio-Ravello_Amalfi_Coast_Province_of_Salerno_Cam.html,"Piazza Fontana Moresca 1 Al Centro Della Piazza, 84010, Ravello Italia",http://www.caseificioravello.it,, 328 486 2731
192,Terrazza Belvedere,https://www.tripadvisor.it/Restaurant_Review-g194873-d2265248-Reviews-Terrazza_Belvedere-Ravello_Amalfi_Coast_Province_of_Salerno_Campania.html,"in Hotel Palazzo Avino Via San Giovanni del Toro, 28, Ravello Italia",http://www.palazzoavino.com/en/Dining/Terrazza-Belveder,, 089 818181
